en,ko
How annoying!,이렇게나 짜증나다니!
Tom coughed up some blood.,톰은 조금의 피를 토해냈다.
Let's melt cheese on the potatoes.,감자에 치즈를 녹이자.
The deal is all but done.,거래는 거의 끝났다.
Everyone wins.,모두가 이겼다.
The concert lasted about three hours.,그 콘서트는 3시간 정도 걸렸다.
Tom sanded the floors.,톰은 바닥을 매끈하게 닦았어.
Do spiders scare you?,거미 무서워해?
Where do you want to live?,어디에서 살고싶어?
I'm going to help you.,널 도우러 갈게.
Staying at home is boring.,집에서 머무르는 것은 지루하다.
Have you ever been in Australia before?,호주에 가본 적 있어?
I'm going to help you.,도와줄게.
I think that there is the way to do it.,하는 방법이 있다고 생각한다.
What's your favorite image editing software?,어떤 것이 네가 가장 좋아하는 사진 편집 소프트웨어야?
"Some water, please.","물 좀 주세요, 제발."
I saw something strange.,나는 이상한 것을 보았다.
Study hard.,열심히 공부해.
Tom has a room at the hotel near the river.,톰은 강변의 호텔에 방을 잡아두고 있다.
"Can you pay attention, please?",제발 집중 좀 해 줄래?
Tom says that he's met you.,톰이 널 만난 적 있다고 말했어.
"The letters were from Tom, not from Mary.",편지는 메리가 아니라 톰에게서 왔다.
I don't play tennis after school.,나는 방과후에 테니스를 치지 않는다.
Tom volunteered.,톰이 자원했어.
Mary is a middle-aged woman.,메리는 중년 여성이야.
Tom doesn't have to go to Australia next week.,톰은 다음 주 호주에 안 가도 돼.
Tom has two sisters.,톰에게는 여자 남매가 둘 있다.
How many days are you planning to stay?,며칠 동안 있을 예정이에요?
Watch your language.,입조심해라.
This is my horse.,이것은 나의 말이다.
I'm writing a letter.,나는 편지를 쓰고 있다.
You can learn French.,넌 프랑스어를 배울 수 있어.
When's your birthday?,네 생일은 언제야?
He is a native English speaker.,그는 영어를 모국어로 사용한다.
I have my own room.,나는 내 방이 있다.
It is warm.,따뜻해.
Unbelievable!,설마!
There is a television in my room.,내 방에 텔레비전이 있다.
I don't have any.,없다.
Did you make it yourself?,직접 만드신 거예요?
Don't say something you'll regret later.,네가 나중에 후회할 만한 말은 하지마.
I'm not a morning person.,난 아침형 인간이 아니야.
He married a pretty girl.,그는 예쁜 여자와 결혼했다.
"Tom really is a nice person, isn't he?",톰은 정말 좋은 사람이지?
Everyone survived.,모두들 살아남았어.
"At that time, I was still awake.",그때 나는 여전히 깨어 있었다.
Is it true you had a fight with Tom?,톰이랑 싸웠다는 게 사실이야?
I can't understand this word.,나는 이 말을 이해할 수가 없다.
I've never met her.,나는 그녀를 만난 적이 없다.
The water is warm.,물이 따뜻하다.
Tom is no longer able to do that.,톰은 더이상 그것을 할 수 없어
That's a secret.,그건 비밀이에요.
The price of gold varies from day to day.,금값은 매일 변한다.
He eats nothing other than fruit.,그는 과일 외에는 아무것도 먹지 않았다.
I got a D on my science test.,난 과학 시험에서 D를 받았어.
Can I leave now?,지금 떠나도 되나요?
Where is the closest hospital?,제일 가까운 병원이 어디에요?
I just want to rest.,나는 그냥 쉬고 싶어.
This novel bores me.,이 소설 재미 없어.
I have to introduce Tom to the manager.,나는 톰을 매니저에게 소개시켜줘야 합니다.
The radio is broken.,라디오가 망가졌다.
Do you like singing?,노래하는 거 좋아해요?
Tom is living alone in a hut.,톰은 오두막에서 혼자 살아.
Keep moving.,계속 움직이고 있어봐.
Come home right away.,곧장 집에 와.
Tom and Mary work in the same office.,톰과 메리는 같은 사무실에서 일한다.
It's really hard to stop.,멈추는 건 너무 어려워.
Tom's birthday's coming up.,톰 생일이 다가오고 있어.
This restroom's toilet is clogged.,이 화장실의 변기는 막혔어요.
I play the guitar after dinner.,난 저녁 식사 후에 기타를 쳐.
I can't decode the message.,메시지를 해독할 수 없어.
Do you have a mobile phone?,핸드폰을 가지고 계신가요?
Could you loan me some money until payday?,월급날까지 나한테 돈 좀 빌려줄 수 있어?
I cut up all but one of my credit cards.,나는 내 신용카드를 하나만 빼고 모두 해지했다.
Tom knows the police are looking for him.,톰은 경찰이 자기를 찾고 있다는 걸 알아.
Tom wasn't breathing.,톰은 숨을 쉬지 않고 있었다.
I want to live in Boston or Chicago.,나는 보스턴이나 시카고에서 살고 싶다.
Do you want to do that?,너는 하고 싶니?
He loves animals.,그는 동물을 사랑한다.
Does Tom know that you're here?,톰은 네가 여기 있는 걸 알아?
I can help you.,제가 당신을 도울 수 있습니다.
God is always watching over us.,신은 항상 우리를 지켜보고 있어.
This is what I found in the cave.,이것은 내가 동굴에서 찾아낸 것이다.
I'm not a communist.,난 공산주의자가 아니야.
This book is way more interesting than that one.,이 책이 저거보다 훨씬 흥미롭다.
Tom left.,톰이 떠났어.
Have you ever been in jail?,너 감옥에 간 적 있어?
I think Tom is still unemployed.,톰은 여전히 실업 상태일 것이다.
How many kinds of vegetables do you grow in your garden?,정원에서 키우는 야채의 종류가 얼마나 되나요?
That made me cry.,그것 때문에 울었다.
"You lied to me, didn't you?",너 나 속였지?
Tom is working.,톰은 근무중이다.
Tom couldn't say anything else.,톰은 차마 말을 잇지 못했다.
All of the children had gone to bed before it got dark.,아이들 모두 어두워지기 전에 침대에 갔었어.
Hello everyone!,모두들 안녕!
Her hair is long.,그녀의 머리카락은 길다.
Don't be fooled by her appearance.,그 여자 겉모습만 보고 속지 마라.
I didn't think we had any chance of winning.,나는 우리가 이길 가능성이 전혀 없다고 생각했어.
"Goodnight, Mother.",엄마 잘자.
Is Tom with you?,톰이랑 같이 있어?
"Tom is going to be there, isn't he?",톰은 거기에 가 있을 거지?
The zipper is stuck.,지퍼가 고장났다.
I'm sorry for interrupting.,방해해서 죄송합니다.
Step aside.,옆으로 비켜.
You've drunk three cups of coffee.,너는 커피 세 잔을 마셨다.
I had never seen him before.,나는 그를 처음 봤다.
Tom was the one who wrote this story.,톰이 이 이야기를 쓴 사람이었어.
I may die tomorrow.,나는 내일 죽을 수도 있다.
I want to return to Australia.,호주로 돌아가고 싶어.
Why are you here?,왜 왔어요?
What's your favorite kind of cheese?,어떤 종류의 치즈를 가장 좋아해?
You need good equipment to climb that mountain.,저 산에 오르려면 좋은 장비가 있어야 돼.
Beat it.,저리 가.
This movie is suitable for children.,이 영화는 아이들에게 알맞다.
My father can fly an airplane.,우리 아버지는 비행기를 몰 줄 안다.
I don't want to see anybody today.,나는 오늘 아무도 만나고 싶지 않다.
A Mexican taught him Spanish.,멕시코인에 그에게 스페인어를 가르쳐 주었다.
Tom won't be bored.,톰은 지루해하지 않을 거야.
I grew up with Tom.,나는 톰과 함께 자랐다.
He's an Englishman.,그는 영국 사람이다.
I didn't know Tom was ready.,톰이 준비된 줄 몰랐어.
I like Korean cuisine.,전 한국 요리를 좋아해요.
Do you have to work tonight?,오늘 밤에 일해야 하니?
The sum of all the angles in a triangle equals 180 degrees.,삼각형에 있는 모든 각도의 합은 180도야.
Tom doesn't know anything about it.,톰은 그에 대해 아무것도 모른다.
Nice timing.,좋은 타이밍이야.
This word has three syllables.,이 단어는 세 음절이다.
Tom was astonished.,톰은 깜짝 놀랐다.
Can you help me for just a minute?,1분만 도와주시겠어요?
Tom won't eat that.,톰은 그것을 먹고 싶어하지 않는다.
Are you going to school tomorrow?,내일 학교에 갈 거야?
I know Tom well.,나는 톰을 잘 안다.
Aren't you afraid?,안 무서워?
How did you arrive at this conclusion?,어떻게 이런 결론에 도달하셨나요?
This plate isn't very clean.,이 접시는 그다지 깨끗하지 않아.
Tom fainted at the sight of the needle.,톰은 바늘의 광경을 보고 실신했어.
He did nothing but cry.,그는 울기만 했다.
Tom is allowed to stay.,톰은 남아 있어도 돼.
I really like snow.,난 눈이 정말 좋아.
Say goodbye.,작별인사해.
Tom doesn't know the rules.,톰은 규칙을 몰라.
Tom didn't know Mary was going to be late.,톰은 메리가 늦을 줄 몰랐다
Have you eaten dinner yet?,아직 저녁을 안 드셨나요?
Something happened.,무언가 생겼어.
This information is very important to us.,이 정보는 우리한테 정말 중요해.
I'm dead serious.,난 절대 농담하는게 아냐.
When does your winter vacation begin?,겨울 방학은 언제 시작하나요?
I wonder why Tom left.,왜 톰이 떠났을까 궁금하네.
I watched Tom eat.,톰이 먹는 걸 지켜봤어.
You can hide in here.,여기에 숨어도 돼.
I saw a man enter the room.,나는 방 안으로 들어가는 어떤 남자를 보았다.
Tom asked Mary for forgiveness.,톰이 메리한테 용서해달라고 부탁하더라.
He's absorbed in his work.,그는 업무에 정신이 없다.
I later regretted that decision.,나는 그 결정을 나중에서야 후회했어.
Are there any messages for me?,저한테 온 메시지 있나요?
I overslept.,나는 늦잠잤어.
Everyone prayed.,모두들 기도했어.
Cats are great.,고양이들은 멋져.
Tom asked me for money.,톰은 나에게 돈을 달라고 했다.
Tom learned how to read and write at school.,톰은 학교에서 읽고 쓰는 법을 배웠어.
You idiot!,이 바보야!
The new subway enables me to get to school in 20 minutes.,새 지하철은 20분 만에 학교에 갈 수 있게 해줘.
He will soon come back.,그는 곧 돌아올 것이다.
Tom's polite.,톰은 예의가 바르다.
Tom wasn't the star.,톰은 스타가 아니었다.
I'm sure Tom will be intrigued.,톰은 분명 흥미를 느낄 거야.
This clock is accurate.,이 시계는 정확하다.
I don't really want to learn French.,나는 프랑스어를 진짜 배우고 싶지 않아.
I shouldn't've told you.,너한테 말하지 말았어야 했어.
Shoot!,쏴!
Do you like fish?,생선 좋아해?
We all got up and started dancing.,우리는 모두 자리에서 일어나 춤추기 시작했다.
Oranges contain a lot of vitamin C.,오렌지는 많은 비타민C를 함유하고 있다.
I forgot.,잊어버렸어.
The snow began to melt.,눈이 녹기 시작했어.
Your son isn't like you.,네 아들은 너를 닮지 않았다.
Get out.,나가.
I used to be poor.,난 가난했었어.
I like horses.,나는 말을 좋아해.
I don't want to live my life like this.,나는 이런 인생 살고 싶지 않다.
Where is the cat?,고양이는 어딨어?
He successfully passed the exam.,그는 시험에 무사히 붙었다.
Don't talk!,말하지 마!
She's by far the tallest girl.,이제까지 그녀가 가장 키가 큰 여자다.
He is in his library.,그는 그의 서재에 있다.
I am homesick.,나 향수병 걸렸어.
This book is of great use.,이 책은 정말 유용하네.
"You know that's not possible, don't you?",그게 불가능하단 건 알고 있지?
I need first aid.,응급처치를 해 주세요.
I'm not sure when he'll come.,나는 그가 언제 올지 잘 모르겠다.
He translated a Japanese novel into French.,그는 일본 소설을 프랑스어로 번역했다.
I shouldn't have sold my house.,난 내 집을 팔지 말았어야 했어.
Who painted these pictures?,누가 이 그림을 그렸어?
My brother is out.,내 형제가 나갔다.
What color do you like?,무슨 색이 좋아?
There was no point in arguing with Tom.,톰과 싸우는 것은 무의미했다.
How's the business going?,사업 어떻게 되어 가?
I waited for him all day long.,나는 그를 하루종일 기다렸다.
How much does he earn per month?,그 남자 월급이 얼마야?
